bibcode,mespos,nbmes,oidref,qual,upvsini,vsini,vsini_err,vsini_err_prec,vsini_prec
"2002ApJ...573..359A",2,,8324,D,,15.0,,,0
"2010ApJ...722..605H",1,,8324,,,37.0,22.0,0,0
"2016A&A...594A..39F",1,,12444239,,,143.0,98.0,0,0
"2002ApJ...573..359A",3,,372754,D,,120.0,,,0
"2007A&A...463..671R",2,0,372754,D,,140.0,,,0
"2006A&A...460..695T",4,,1250477,D,,4.0,,,0
"2006ApJ...648..580H",1,,891428,D,,26.0,15.0,0,0
"2019A&A...629A..80H",1,,2208543,,,2.08,0.48,2,2
"2019A&A...629A..80H",1,,2398821,,,2.79,0.42,2,2
"2007AJ....133.2524W",1,,632217,,,10.0,,,0
"2011A&A...531A.143D",1,,933628,,,94.9,0.5,1,1
"2006A&A...460..695T",1,,1404089,C,,120.0,20.0,1,1
"2010ApJ...722..605H",1,,1538214,,,23.0,19.0,0,0
"2010AJ....140.1911B",1,,2805079,,,0.0,,,2
"2006ApJ...648..580H",1,,270144,D,,203.0,9.0,0,0
"2011A&A...531A.143D",1,,3303451,,,44.1,0.6,1,1
"2007AJ....133.1092W",1,,2585738,D,,290.0,,,0
"1970CoAsi.239....1B",3,12,1512943,D,,13.0,,,0
"1970CoKwa.189....0U",2,,1512943,D,<,25.0,,,0
"2008AJ....135..209M",1,197,1512943,,,0.4,,,1
"2010ApJ...722..605H",1,,781592,,,218.0,17.0,0,0
"1970CoAsi.239....1B",6,5,708990,D,,105.0,,,0
"1970CoKwa.189....0U",5,,708990,D,,80.0,,,0
"1995ApJS...99..135A",4,,708990,D,,80.0,,,0
"2002A&A...393..897R",3,,708990,D,,75.0,,,0
"2002A&A...393..897R",2,,708990,D,,77.0,,,0
"2012AJ....144..130B",1,,961753,D,,100.0,7.0,0,0
"2010A&A...520A..79M",1,,2761416,,,4.12,,,2
"2010AJ....140.1911B",1,,1098011,,,0.0,,,2
"1995ApJS...99..135A",2,,740897,D,,15.0,,,0
"2002A&A...393..897R",1,,740897,D,,23.0,,,0
"1970CoAsi.239....1B",3,10,1720797,D,,10.0,,,0
"1970CoKwa.189....0U",2,,1720797,D,<,19.0,,,0
"2008AJ....135..209M",1,5,1720797,,,6.0,,,1
"2019A&A...629A..80H",2,,2696956,,,2.73,0.21,2,2
"2019A&A...629A..80H",1,,3460404,,,3.87,0.82,2,2
"2005PASJ...57...13T",1,,1420306,,,3.0,,,0
"2014ApJ...782...49S",2,,10625410,D,,26.2,1.9,1,1
"2014ApJ...797...43M",1,,10625410,,,13.0,,,0
"2008AJ....135..209M",2,3,2635203,,,3.6,,,1
"2010AJ....140.1911B",1,,6780608,,,2.08,,,2
"2012ApJ...745...56D",1,,2529273,,,27.08,2.08,2,2
"2019A&A...629A..80H",1,,2635203,,,3.03,0.25,2,2
"2019A&A...629A..80H",1,,2560541,,,3.1,0.66,2,2
"2008AJ....135..209M",2,2,2577976,,,3.5,,,1
"2010ApJ...722..605H",1,,272776,,,31.0,15.0,0,0
"1970CoAsi.239....1B",2,10,3471517,D,,10.0,,,0
"1970CoKwa.189....0U",1,,3471517,D,,0.0,,,0
"2014ApJ...797...43M",1,,3373454,,,55.0,,,0
"2014ApJ...782...49S",2,,10625436,D,,42.1,10.7,1,1
"2014ApJ...797...43M",1,,10625436,,,35.0,,,0
"2014ApJ...797...43M",1,,11462521,,,15.0,,,0
"2014ApJ...797...43M",1,,11462522,,,42.0,,,0
"2008A&A...479..541H",2,,3260973,,,105.0,,,0
"2009A&A...496..841H",1,,3260973,,,105.0,,,0
"2007A&A...462..683M",1,,6268068,,,118.0,10.0,0,0
"2011ApJ...738..122C",1,,3339497,,,11.0,1.0,0,0
"2008AJ....135..209M",1,16,2866929,,,3.1,,,1
"2006A&A...460..695T",2,,1760190,D,,4.0,,,0
"1970CoKwa.189....0U",1,,1477134,D,<,10.0,,,0
"2010MNRAS.407.1657H",1,,3314092,,,2.71,,,2
"2010AJ....140.1911B",1,,2566260,,,1.81,,,2
"2008A&A...479..541H",2,,3744305,,,145.0,,,0
"2009A&A...496..841H",1,,3744305,,,145.0,,,0
"2011A&A...531A...8J",1,,1272437,,,0.9,,,1
"2006A&A...460..695T",1,,1387068,C,,4.6,1.2,1,1
"2007A&A...463..671R",1,0,87389,D,,144.0,,,0
"2002A&A...393..897R",2,,87389,D,,144.0,,,0
"1995ApJS...99..135A",3,,87389,D,,130.0,,,0
"1970CoKwa.189....0U",4,,87389,D,,128.0,,,0
"1970CoAsi.239....1B",5,9,87389,D,,155.0,,,0
"2014ApJ...797...43M",1,,11462520,,,29.0,,,0
"1970CoAsi.239....1B",2,23,180052,D,,230.0,,,0
"1970CoKwa.189....0U",1,,180052,D,,230.0,,,0
"1970CoAsi.239....1B",5,25,1949378,D,,250.0,,,0
"1970CoKwa.189....0U",4,,1949378,D,,237.0,,,0
"1995ApJS...99..135A",3,,1949378,D,,255.0,,,0
"2002A&A...393..897R",2,,1949378,D,,275.0,,,0
"2007A&A...463..671R",1,0,1949378,D,,275.0,,,0
"2010MNRAS.407.1657H",2,,2049993,,,9.75,,,2
"2006ApJ...648..580H",1,,3759932,D,,260.0,10.0,0,0
"2008AJ....135..209M",1,2,1293825,,,32.8,,,1
"2011A&A...531A...8J",1,,3481918,,,1.3,,,1
"2006A&A...460..695T",1,,2003560,C,,31.9,3.2,1,1
"2010ApJ...722..605H",1,,201120,,,138.0,10.0,0,0
"2011A&A...531A...8J",1,,2209794,,,3.0,,,1
"2002A&A...393..897R",2,,3481886,D,,155.0,,,0
"2007A&A...463..671R",1,0,3481886,D,,155.0,,,0
"2010AJ....140.1911B",1,,136245,,,1.52,,,2
"2002A&A...393..897R",3,,3372736,D,,219.0,,,0
"2007A&A...463..671R",2,0,3372736,D,,219.0,,,0
"2011A&A...531A.143D",1,,3372736,,,239.7,3.3,1,1
"2006A&A...460..695T",2,,5131471,C,,9.2,1.2,1,1
"1995ApJS...99..135A",4,,2310268,D,,95.0,,,0
"2002A&A...393..897R",3,,2310268,D,,107.0,,,0
"2007A&A...463..671R",2,0,2310268,D,,107.0,,,0
"2011A&A...531A.143D",1,,2310268,,,42.9,0.4,1,1
"2008AJ....135..209M",1,4,2737065,,,2.8,,,1
"2011A&A...531A...8J",1,,3487794,,,2.7,,,1
"1970CoKwa.189....0U",1,,963186,D,,136.0,,,0
"2006A&A...460..695T",1,,1900740,C,,13.1,1.2,1,1
"2006ApJ...648..580H",1,,207097,D,,107.0,17.0,0,0
"2006ApJ...648..580H",1,,199625,D,,191.0,11.0,0,0
"2006PASP..118.1656S",1,44,2075654,,,5.1,,,1
"2002A&A...393..897R",4,,3273109,D,,150.0,,,0
"2007A&A...463..671R",3,0,3273109,D,,150.0,,,0
"2011A&A...531A.143D",2,,3273109,,,156.3,1.9,1,1
"1995ApJS...99..135A",2,,1053795,D,,100.0,,,0
"2002A&A...393..897R",1,,1053795,D,,93.0,,,0
"2008AJ....135..209M",1,3,2633305,,,2.7,,,1
"1995ApJS...99..135A",3,,748151,D,,15.0,,,0
"2002A&A...393..897R",2,,748151,D,,12.0,,,0
"2007A&A...463..671R",1,0,748151,D,,12.0,,,0
"2019A&A...629A..80H",1,,2228197,,,2.38,0.51,2,2
"1995ApJS...99..135A",2,,57848,D,,63.0,,,0
"2002A&A...393..897R",1,,57848,D,,73.0,,,0
"2019A&A...629A..80H",1,,11680876,,,5.81,0.23,2,2
"2008A&A...479..541H",2,,3888529,,,25.0,,,0
"2009A&A...496..841H",1,,3888529,,,25.0,,,0
"1970CoAsi.239....1B",3,10,383312,D,,10.0,,,0
"1970CoKwa.189....0U",2,,383312,D,<,19.0,,,0
"2008AJ....135..209M",1,6,383312,,,3.7,,,1
"2006ApJ...648..580H",2,,3201176,D,,96.0,15.0,0,0
"1970CoKwa.189....0U",3,,2812458,D,<,17.0,,,0
"2019A&A...629A..80H",2,,2812458,,,5.2,0.65,2,2
"1970CoAsi.239....1B",2,7,390420,D,,8.0,,,0
"1970CoKwa.189....0U",1,,390420,D,<,17.0,,,0
"2006A&A...460..695T",1,,1423874,D,,90.0,10.0,0,0
"1970CoAsi.239....1B",1,2,2592137,D,,20.0,,,0
"2006A&A...460..695T",1,,5127792,C,,4.8,1.2,1,1
"2011A&A...531A...8J",1,,1208735,,,2.1,,,1
"1970CoAsi.239....1B",1,35,136441,D,,350.0,,,0
"2006A&A...460..695T",1,,5131325,C,,28.9,2.9,1,1
"1995ApJS...99..135A",2,,1098988,D,,30.0,,,0
"2012A&A...542A.116A",1,,1098988,,,6.1,0.3,1,1
"1995ApJS...99..135A",3,,1945618,D,,135.0,,,0
"2002A&A...393..897R",2,,1945618,D,,149.0,,,0
"2009A&A...493.1099S",1,,1945618,D,,135.8,,,1
"2011A&A...531A...8J",1,,1900392,,,2.7,,,1
"2006A&A...460..695T",1,,5131440,C,,15.0,1.2,1,1
"2006A&A...460..695T",1,,3242613,C,,107.0,10.7,1,1
"2006A&A...460..695T",2,,2527803,C,,15.6,1.2,1,1
"2007A&A...463..671R",1,0,247874,D,,240.0,,,0
"2002A&A...393..897R",2,,247874,D,,241.0,,,0
"2002A&A...393..897R",3,,247874,D,,240.0,,,0
"1995ApJS...99..135A",4,,247874,D,,220.0,,,0
"1970CoKwa.189....0U",5,,247874,D,,211.0,,,0
"1970CoAsi.239....1B",6,14,247874,D,,210.0,,,0
"2006A&A...460..695T",1,,5130704,C,,40.0,4.0,1,1
"2008A&A...479..541H",2,,3260671,,,63.0,,,0
"2014ApJ...797...43M",1,,11462524,,,28.0,,,0
"2014ApJ...797...43M",1,,11462526,,,107.0,,,0
"2014ApJ...797...43M",1,,11462530,,,6.0,,,0
"2014ApJ...797...43M",1,,11462532,,,112.0,,,0
"2014ApJ...797...43M",1,,11462536,,,5.0,,,0
"2014ApJ...797...43M",1,,11462540,,,45.0,,,0
"2009A&A...496..841H",1,,3260671,,,63.0,,,0
"2008AJ....135..209M",1,2,87390,,,3.4,,,1
"1970CoKwa.189....0U",2,,1679943,D,,50.0,,,0
"2002A&A...393..897R",1,,1679943,D,,10.0,,,0
"2008A&A...479..541H",2,,3254609,,<,28.0,,,0
"2009A&A...496..841H",1,,3254609,,,28.0,,,0
"2010AJ....140.1911B",1,,967458,,,0.0,,,2
"2010ApJ...722..605H",1,,137169,,,106.0,11.0,0,0
"2002ApJ...573..359A",2,,701043,D,,30.0,,,0
"2010ApJ...722..605H",1,,701043,,,1.0,27.0,0,0
"1970CoKwa.189....0U",1,,937293,D,,19.0,,,0
"2002ApJ...573..359A",2,,2819339,D,,165.0,,,0
"2007A&A...463..671R",1,0,2819339,D,,194.0,,,0
"1970CoKwa.189....0U",2,,2787943,D,,332.0,,,0
"2002ApJ...573..359A",1,,2787943,D,,270.0,,,0
"2008AJ....135..209M",1,4,699292,,,0.0,,,1
"1970CoAsi.239....1B",2,2,437634,D,,15.0,,,0
"1970CoKwa.189....0U",1,,437634,D,,17.0,,,0
"2009ApJ...704..975J",1,,640595,D,,21.9,0.6,1,1
"2010AJ....140.1911B",1,,2683456,,,2.34,,,2
"1970CoKwa.189....0U",4,,1285850,D,,297.0,,,0
"1995ApJS...99..135A",3,,1285850,D,,165.0,,,0
"2012MNRAS.423..122B",2,,215101,,,5.5,,,1
"2002A&A...393..897R",2,,1285850,D,,180.0,,,0
"2007A&A...463..671R",1,0,1285850,D,,180.0,,,0
"2006A&A...460..695T",1,,5131432,C,,25.8,2.6,1,1
"2010AJ....140.1911B",1,,2939471,,,0.94,,,2
"2006A&A...460..695T",1,,5127793,C,,6.7,1.2,1,1
"1995ApJS...99..135A",4,,1721688,D,,180.0,,,0
"2002A&A...393..897R",3,,1721688,D,,188.0,,,0
"2007A&A...463..671R",2,0,1721688,D,,188.0,,,0
"2011A&A...531A.143D",1,,1721688,,,214.3,2.0,1,1
"2012A&A...542A.116A",1,,1016441,,,4.4,0.2,1,1
"2012MNRAS.423.2966J",1,,8377784,D,,16.0,4.1,1,1
"2016A&A...594A..39F",1,,12444236,,,147.0,107.0,0,0
"2016A&A...594A..39F",1,,12444241,,,134.0,75.0,0,0
"2008A&A...479..541H",2,,3260694,,,82.0,,,0
"2009A&A...496..841H",1,,3260694,,,82.0,,,0
"2016A&A...594A..39F",1,,12444289,,,239.0,80.0,0,0
"1995ApJS...99..135A",2,,1300733,D,,73.0,,,0
"2002A&A...393..897R",1,,1300733,D,,84.0,,,0
"2010AJ....140.1911B",1,,1843472,,,1.87,,,2
"2010MNRAS.402.1380J",2,,139351,D,,190.0,,,1
"2006PASP..118.1656S",1,16,2075657,,,2.3,,,1
"2016A&A...594A..39F",1,,9374681,,,195.0,163.0,0,0
"1970CoAsi.239....1B",3,75,787564,D,,370.0,,,0
"1970CoKwa.189....0U",2,,787564,D,,370.0,,,0
"2002ApJ...573..359A",1,,787564,D,,285.0,,,0
"1970CoAsi.239....1B",1,6,3531293,D,,6.0,,,0
"2006A&A...460..695T",1,,1287955,C,,130.0,13.0,1,1
"2010MNRAS.402.1380J",2,,187155,D,,160.0,,,1
"2016A&A...594A..39F",1,,12444310,,,238.0,118.0,0,0
"2010AJ....140.1911B",1,,311368,,,3.03,,,2
"2010AJ....140.1911B",1,,2794508,,,0.0,,,2
"2010ApJ...722..605H",1,,7002925,,,234.0,7.0,0,0
"2002A&A...393..897R",1,,1008289,D,,49.0,,,0
"1970CoAsi.239....1B",3,4,84353,D,,40.0,,,0
"1970CoKwa.189....0U",2,,84353,D,,40.0,,,0
"2009A&A...493.1099S",1,,84353,D,,33.4,,,1
"1970CoKwa.189....0U",2,,1256677,D,,131.0,,,0
"2012A&A...542A.116A",1,,1256677,,,116.8,5.8,1,1
"2019A&A...629A..80H",1,,11576216,,,4.12,0.94,2,2
"2008AJ....135..209M",1,3,1546016,,,7.2,,,1
"2011A&A...531A.143D",1,,1146737,,,163.4,2.0,1,1
"1970CoKwa.189....0U",4,,2215594,D,,81.0,,,0
"1995ApJS...99..135A",3,,2215594,D,,65.0,,,0
"2002A&A...393..897R",2,,2215594,D,,75.0,,,0
"2007A&A...463..671R",1,0,2215594,D,,75.0,,,0
"2006A&A...460..695T",1,,3413103,C,,190.0,5.0,1,1
"2012A&A...542A.115B",1,,823282,,,12.8,1.0,1,1
"1970CoAsi.239....1B",2,10,838514,D,,10.0,,,0
"1970CoKwa.189....0U",1,,838514,D,<,19.0,,,0
"2008AJ....135..209M",4,3,2680496,,,0.0,,,1
"2006ApJ...648..580H",2,,136415,D,,295.0,6.0,0,0
"1970CoAsi.239....1B",4,5,2684332,D,,30.0,,,0
"1970CoAsi.239....1B",3,5,2684332,D,,20.0,,,0
"1970CoKwa.189....0U",2,,2684332,D,,30.0,,,0
"2009A&A...493.1099S",1,,2684332,D,,28.4,,,1
"1995ApJS...99..135A",2,,3280614,D,,28.0,,,0
"2002A&A...393..897R",1,,3280614,D,,36.0,,,0
"2010AJ....140.1911B",1,,910275,,,0.88,,,2
"2012AJ....144..130B",1,,3447932,D,,22.0,7.0,0,0
"2016A&A...594A..39F",1,,12444331,,,163.0,126.0,0,0
"2006A&A...460..695T",1,,3952075,C,,4.3,1.2,1,1
"2006A&A...460..695T",1,,1417788,C,,40.0,4.0,0,0
"2010ApJ...722..605H",1,,124142,,,66.0,9.0,0,0
"2006A&A...460..695T",1,,3102413,C,,1.0,1.2,1,1
"2010ApJ...722..605H",1,,175004,,,79.0,31.0,0,0
"1970CoAsi.239....1B",4,30,2400278,D,,100.0,,,0
"1970CoAsi.239....1B",3,30,2400278,D,,100.0,,,0
"1970CoKwa.189....0U",2,,2400278,D,,100.0,,,0
"2002ApJ...573..359A",1,,2400278,D,,90.0,,,0
"1970CoAsi.239....1B",2,30,2482803,D,,80.0,,,0
"1970CoKwa.189....0U",1,,2482803,D,,80.0,,,0
"2006A&A...460..695T",1,,5131307,C,,170.0,17.0,1,1
"2010ApJ...722..605H",1,,171177,,,253.0,11.0,0,0
"2019A&A...629A..80H",1,,2680496,,,2.27,0.27,2,2
"2010ApJ...722..605H",1,,125261,,,244.0,11.0,0,0
"2016A&A...594A..39F",1,,12444345,,,121.0,81.0,0,0
"1995ApJS...99..135A",3,,970888,D,,145.0,,,0
"2002A&A...393..897R",2,,970888,D,,159.0,,,0
"2007A&A...463..671R",1,0,970888,D,,159.0,,,0
"2019A&A...629A..80H",1,,2579726,,,2.89,0.23,2,2
"2016A&A...594A..39F",2,,2950677,,,224.0,71.0,0,0
"1970CoAsi.239....1B",2,10,2515447,D,,90.0,,,0
"2002ApJ...573..359A",1,,2515447,D,,75.0,,,0
"2011A&A...531A.143D",1,,3180843,,,90.2,0.8,1,1
"2002A&A...393..897R",2,,204365,D,,17.0,,,0
"2002A&A...393..897R",1,,204365,D,,17.0,,,0
"1970CoKwa.189....0U",1,,2751423,D,,17.0,,,0
"2019A&A...629A..80H",1,,2730235,,,2.68,0.21,2,2
"2019A&A...629A..80H",1,,11684877,,,2.7,0.66,2,2
"2010AJ....140.1911B",1,,314795,,,1.67,,,2
"2010AJ....140.1911B",1,,589023,,,3.43,,,2
"2006A&A...460..695T",1,,1271952,C,,7.9,1.2,1,1
"1970CoAsi.239....1B",2,25,608441,D,,25.0,,,0
"1970CoKwa.189....0U",1,,608441,D,<,50.0,,,0
"2008AJ....135..209M",4,4,1458594,,,2.0,,,1
"2018A&A...614A..76J",1,,1482567,,,5.2,,32767,1
"1970CoAsi.239....1B",3,23,141658,D,,225.0,,,0
"1995ApJS...99..135A",3,,915072,D,,38.0,,,0
"2002A&A...393..897R",2,,915072,D,,47.0,,,0
"2007A&A...463..671R",1,0,915072,D,,47.0,,,0
"2019A&A...629A..80H",2,,3518193,,,2.35,0.23,2,2
"2008A&A...479..541H",2,,3090061,,,103.0,,,0
"2009A&A...496..841H",1,,3090061,,,103.0,,,0
"2006A&A...460..695T",1,,3213110,C,,32.7,1.8,1,1
"1995ApJS...99..135A",2,,988251,D,,15.0,,,0
"2002A&A...393..897R",1,,988251,D,,23.0,,,0
"2006A&A...460..695T",1,,1345240,C,,2.8,1.2,1,1
"1995ApJS...99..135A",3,,425968,D,,90.0,,,0
"2002A&A...393..897R",2,,425968,D,,102.0,,,0
"2007A&A...463..671R",1,0,425968,D,,102.0,,,0
"2006ApJ...648..580H",3,,890290,D,,165.0,11.0,0,0
"2011A&A...531A...8J",1,,1068938,,,2.4,,,1
"1995ApJS...99..135A",2,,2495447,D,,145.0,,,0
"2002A&A...393..897R",1,,2495447,D,,150.0,,,0
"2010AJ....140.1911B",1,,2775019,,,2.5,,,2
"1970CoKwa.189....0U",2,,141658,D,,225.0,,,0
"2010ApJ...723..684B",1,,2632225,,,60.56,0.37,2,2
"1970CoAsi.239....1B",2,5,2992712,D,,40.0,,,0
"1970CoKwa.189....0U",1,,2992712,D,,47.0,,,0
"1970CoAsi.239....1B",2,15,2668742,D,,80.0,,,0
"1970CoKwa.189....0U",1,,2668742,D,,80.0,,,0
"1970CoAsi.239....1B",5,18,187019,D,,205.0,,,0
"2006AJ....132.2135S",1,,3878802,D,,7.6,,,1
"2006A&A...460..695T",1,,5130684,C,,4.2,1.2,1,1
"1970CoKwa.189....0U",4,,230519,D,,20.0,,,0
"2010ApJ...722..605H",1,,9116,,,247.0,6.0,0,0
"2009ApJ...700.1216M",1,,3235605,,,121.0,6.0,0,0
"2002AJ....123.1723F",2,,859077,D,,6.5,2.0,0,1
"2002AJ....123.1723F",1,,859077,D,,11.2,2.0,0,1
"1995ApJS...99..135A",4,,240937,D,,135.0,,,0
"2002A&A...393..897R",3,,240937,D,,149.0,,,0
"2002ApJ...573..359A",2,,240937,D,,135.0,,,0
"2007A&A...463..671R",1,0,240937,D,,149.0,,,0
"2007AJ....133.1092W",1,,2806256,D,,162.0,,,0
"2007AJ....134.1570D",1,,997948,D,,151.0,5.0,0,0
"2006A&A...460..695T",1,,1293617,C,,9.8,1.2,1,1
"2010AJ....140.1911B",1,,2939222,,,0.0,,,2
"2019A&A...629A..80H",1,,2607595,,,4.39,0.37,2,2
"1995ApJS...99..135A",3,,256375,D,,250.0,,,0
"2002A&A...393..897R",2,,256375,D,,270.0,,,0
"2007A&A...463..671R",1,0,256375,D,,270.0,,,0
"1970CoKwa.189....0U",1,,1818950,D,,56.0,,,0
"2006AJ....132.2135S",1,,3878737,D,,5.9,,,1
"1970CoAsi.239....1B",2,10,376801,D,,10.0,,,0
"1970CoKwa.189....0U",1,,376801,D,<,19.0,,,0
"1970CoAsi.239....1B",3,25,611532,D,,25.0,,,0
"1970CoKwa.189....0U",2,,611532,D,<,50.0,,,0
"2008AJ....135..209M",1,3,611532,,,0.0,,,1
"2007AJ....133.1092W",2,,890290,D,,143.0,,,0
"2014ApJ...782...49S",2,,3373469,D,,86.0,11.2,1,1
"1970CoAsi.239....1B",5,10,1089028,D,,135.0,,,0
"1970CoKwa.189....0U",4,,1089028,D,,118.0,,,0
"1995ApJS...99..135A",3,,1089028,D,,120.0,,,0
"2002A&A...393..897R",2,,1089028,D,,133.0,,,0
"2007A&A...463..671R",1,0,1089028,D,,133.0,,,0
"2006PASP..118.1656S",1,10,2010294,,,0.0,,,1
"2010AJ....140.1911B",1,,264589,,,2.42,,,2
"2002ApJ...573..359A",1,,897198,D,,275.0,,,0
"1970CoAsi.239....1B",3,7,746151,D,,8.0,,,0
"1970CoKwa.189....0U",2,,746151,D,<,17.0,,,0
"2008AJ....135..209M",1,2,746151,,,0.0,,,1
"2011A&A...526A.127P",1,,1134866,,,2.2,,,1
"2007AJ....133.2524W",3,,318899,,,8.9,,,2
"2014ApJ...797...43M",1,,3373469,,,110.0,,,0
"2014ApJ...797...43M",1,,11462523,,,130.0,,,0
"2014ApJ...797...43M",1,,3373466,,,93.0,,,0
"2014ApJ...797...43M",1,,11462525,,,37.0,,,0
"2014ApJ...797...43M",1,,3375561,,,115.0,,,0
"2014ApJ...797...43M",1,,3373447,,,0.0,,,0
"2014ApJ...797...43M",1,,11462534,,,5.0,,,0
"2014ApJ...782...49S",2,,10625435,D,,44.2,7.3,1,1
"2014ApJ...797...43M",1,,10625435,,,22.0,,,0
"2014ApJ...797...43M",1,,11462538,,,6.0,,,0
"2014ApJ...782...49S",2,,3375574,D,,26.3,3.6,1,1
"2011A&A...531A.143D",1,,2340602,,,275.4,3.1,1,1
"2006AJ....132.2135S",1,,4903502,D,,11.8,,,1
"2008A&A...479..541H",2,,3253676,,<,36.0,,,0
"2009A&A...496..841H",1,,3253676,,,36.0,,,0
"2010MNRAS.407..465J",1,,6358917,D,,9.1,3.5,1,1
"2002A&A...393..897R",2,,2310450,D,,70.0,,,0
"2002ApJ...573..359A",1,,2310450,D,,70.0,,,0
"2014ApJ...797...43M",1,,3375582,,,27.0,,,0
"2014ApJ...797...43M",1,,11462528,,,57.0,,,0
"2011A&A...531A...8J",1,,1008307,,,3.0,,,1
"2014ApJ...797...43M",1,,11462531,,,65.0,,,0
"2014ApJ...797...43M",1,,11462533,,,12.0,,,0
"2014ApJ...797...43M",1,,3373443,,,20.0,,,0
"2006A&A...460..695T",1,,2378961,C,,29.5,3.0,1,1
"2006A&A...460..695T",1,,1778378,D,,13.0,,,0
"2008A&A...479..541H",1,,3090853,,,106.0,,,0
"2019A&A...629A..80H",1,,2529339,,,3.14,0.21,2,2
"2014ApJ...797...43M",1,,11462535,,,5.0,,,0
"2014ApJ...797...43M",1,,11462537,,,100.0,,,0
"2016A&A...594A..39F",1,,2950677,,,146.0,62.0,0,0
"2010A&A...520A..79M",1,,2196682,,,17.86,,,2
"2019A&A...629A..80H",1,,2652881,,,4.25,0.5,2,2
"2019A&A...629A..80H",1,,2668306,,,2.51,0.21,2,2
"2012MNRAS.423..122B",2,,194939,,,31.1,,,1
"1970CoAsi.239....1B",1,25,3731048,D,,175.0,,,0
"2012MNRAS.423.2966J",1,,3049224,D,,41.7,3.5,1,1
"2010ApJ...722..605H",1,,778207,,,122.0,12.0,0,0
"1995ApJS...99..135A",2,,3068040,D,,125.0,,,0
"2002A&A...393..897R",1,,3068040,D,,138.0,,,0
"2007A&A...462..683M",1,,6267958,,,135.0,10.0,0,0
"2006ApJ...648..580H",2,,207821,D,,102.0,13.0,0,0
"2007AJ....133.1092W",1,,207821,D,,93.0,,,0
"2011A&A...531A...8J",1,,3066429,,,2.6,,,1
"2006A&A...460..695T",1,,3274258,C,,44.5,0.7,1,1
"2008A&A...479..541H",1,,3259423,,,22.0,,,0
"2008A&A...479..541H",1,,3888624,,,263.0,,,0
"1995ApJS...99..135A",2,,1780845,D,,75.0,,,0
"2002A&A...393..897R",1,,1780845,D,,86.0,,,0
"2007MNRAS.379.1546T",1,,4168787,D,,109.1,6.92,2,1
"2006A&A...460..695T",1,,3332622,C,,92.0,9.2,1,1
"2011A&A...531A...8J",1,,3339178,,,2.5,,,1
"1970CoAsi.239....1B",2,2,3438417,D,,15.0,,,0
"1970CoKwa.189....0U",1,,3438417,D,,0.0,,,0
"2011A&A...531A...8J",1,,3288552,,,3.9,,,1
"1995ApJS...99..135A",4,,864546,D,,225.0,,,0
"2002A&A...393..897R",3,,864546,D,,264.0,,,0
"2007A&A...463..671R",2,0,864546,D,,264.0,,,0
"2012A&A...542A.116A",1,,864546,,,301.2,15.1,1,1
"2009A&A...493.1099S",1,,272739,D,,47.5,,,1
"2006AJ....132.2135S",1,,3878800,D,,12.8,,,1
"2011A&A...531A...8J",1,,3046980,,,1.4,,,1
"2010A&A...520A..79M",2,,2376767,,,6.8,,,2
"2009ApJ...704..975J",1,,2303808,D,,3.9,0.6,1,1
"2019A&A...629A..80H",1,,3475240,,,3.58,0.44,2,2
"2019A&A...629A..80H",1,,11577249,,,2.92,0.2,2,2
"2011A&A...536A..71J",1,,3499686,D,,2.02,,,2
"2010AJ....140.1911B",1,,1271046,,,2.11,,,2
"2010AJ....140.1911B",1,,1414626,,,1.52,,,2
"2006PASP..118.1656S",1,13,2010438,,,0.5,,,1
"2002ApJ...573..359A",1,,1637246,D,,135.0,,,0
"2011A&A...531A...8J",1,,2352861,,,2.2,,,1
"1995ApJS...99..135A",3,,257272,D,,120.0,,,0
"2002A&A...393..897R",2,,257272,D,,127.0,,,0
"2002A&A...393..897R",1,,257272,D,,128.0,,,0
"1995ApJS...99..135A",3,,280650,D,,35.0,,,0
"2002A&A...393..897R",2,,280650,D,,44.0,,,0
"2009A&A...493.1099S",1,,280650,D,,65.7,,,1
"2012MNRAS.423..122B",2,,2949176,,,9.6,,,1
"2012AJ....144..109S",1,,8223316,,,6.0,2.0,0,0
"2010AJ....140.1911B",1,,2617523,,,0.0,,,2
"2011A&A...531A...8J",1,,896468,,,2.1,,,1
"1970CoAsi.239....1B",2,7,85377,D,,8.0,,,0
"1970CoKwa.189....0U",1,,85377,D,<,17.0,,,0
"2009A&A...496..841H",1,,3759897,,,120.0,,,0
"2010AJ....140.1911B",1,,943999,,,1.77,,,2
"1970CoKwa.189....0U",2,,2529345,D,,70.0,,,0
"2002ApJ...573..359A",1,,2529345,D,,60.0,,,0
"2009A&A...493.1099S",2,,1901394,D,,11.0,,,1
"2012A&A...542A.116A",1,,1901394,,,15.9,3.2,1,1
"2010A&A...520A..79M",1,,1659140,,,1.9,,,2
"2007A&A...462..683M",1,,6267882,,,93.0,10.0,0,0
"2010AJ....140.1911B",1,,292720,,,1.14,,,2
"1970CoAsi.239....1B",3,19,138870,D,,203.0,,,0
"1970CoKwa.189....0U",2,,138870,D,,210.0,,,0
"2002ApJ...573..359A",1,,138870,D,,90.0,,,0
"2010AJ....140.1911B",1,,384568,,,1.2,,,2
"1970CoKwa.189....0U",1,,788214,D,,80.0,,,0
"2007AJ....133.1092W",2,,3759204,D,,219.0,,,0
"2009A&A...496..841H",1,,3759204,,,165.0,,,0
"2010AJ....140.1911B",1,,426336,,,0.81,,,2
